subject_id	source_language	translation_language	predicate_id	source_value	translation_status	translation_value
MP:0000164	en	ja	rdfs:label	abnormal cartilage development	OFFICIAL	軟骨発生異常
MP:0000165	en	ja	rdfs:label	abnormal long bone hypertrophic chondrocyte zone	OFFICIAL	長骨肥大性軟骨細胞帯域の異常
MP:0000166	en	ja	rdfs:label	abnormal chondrocyte morphology	OFFICIAL	軟骨細胞の形態異常
MP:0000167	en	ja	rdfs:label	decreased chondrocyte number	OFFICIAL	軟骨細胞数の減少
MP:0000168	en	ja	rdfs:label	abnormal bone marrow development	OFFICIAL	骨髄発生異常
MP:0000172	en	ja	rdfs:label	abnormal bone marrow cell number	OFFICIAL	骨髄細胞数異常
MP:0000175	en	ja	rdfs:label	absent bone marrow cell	OFFICIAL	骨髄細胞の欠如
MP:0000176	en	ja	rdfs:label	obsolete bone marrow occupied by adipocytes	OFFICIAL	OBSOLETE
MP:0000180	en	ja	rdfs:label	abnormal circulating cholesterol level	OFFICIAL	コレステロール血中濃度異常
MP:0000181	en	ja	rdfs:label	abnormal circulating LDL cholesterol level	OFFICIAL	LDLコレステロール血中濃度異常
MP:0000182	en	ja	rdfs:label	increased circulating LDL cholesterol level	OFFICIAL	LDLコレステロール血中濃度上昇
MP:0000183	en	ja	rdfs:label	decreased circulating LDL cholesterol level	OFFICIAL	LDLコレステロール血中濃度低下
MP:0000184	en	ja	rdfs:label	abnormal circulating HDL cholesterol level	OFFICIAL	HDLコレステロールの血中濃度異常
MP:0000186	en	ja	rdfs:label	decreased circulating HDL cholesterol level	OFFICIAL	HDLコレステロール血中濃度低下
MP:0000187	en	ja	rdfs:label	abnormal triglyceride level	OFFICIAL	中性脂肪水準の異常
MP:0000188	en	ja	rdfs:label	abnormal circulating glucose level	OFFICIAL	グルコースの血中濃度異常
MP:0000189	en	ja	rdfs:label	hypoglycemia	OFFICIAL	低血糖症
MP:0000192	en	ja	rdfs:label	abnormal mineral level	OFFICIAL	ミネラル値の異常
MP:0000194	en	ja	rdfs:label	increased circulating calcium level	OFFICIAL	カルシウム血中濃度上昇
MP:0000195	en	ja	rdfs:label	decreased circulating calcium level	OFFICIAL	カルシウム血中濃度低下
MP:0000198	en	ja	rdfs:label	decreased circulating phosphate level	OFFICIAL	リン血中濃度低下
MP:0000199	en	ja	rdfs:label	abnormal circulating serum albumin level	OFFICIAL	血清アルブミン血中濃度異常
MP:0000202	en	ja	rdfs:label	abnormal circulating alkaline phosphatase level	OFFICIAL	アルカリフォスファターゼ血中濃度異常
MP:0000203	en	ja	rdfs:label	abnormal circulating aspartate transaminase level	OFFICIAL	アスパラギン酸アミノ基転移酵素の血中濃度異常
MP:0000208	en	ja	rdfs:label	decreased hematocrit	OFFICIAL	ヘマトクリット減少
MP:0000215	en	ja	rdfs:label	absent erythrocytes	OFFICIAL	赤血球の欠如
MP:0000216	en	ja	rdfs:label	absent erythroid progenitor cell	OFFICIAL	赤血球前駆細胞の欠如
MP:0000217	en	ja	rdfs:label	abnormal leukocyte cell number	OFFICIAL	白血球数の異常
MP:0000218	en	ja	rdfs:label	increased leukocyte cell number	OFFICIAL	白血球数の増加
MP:0000219	en	ja	rdfs:label	increased neutrophil cell number	OFFICIAL	好中球数の増加
MP:0000220	en	ja	rdfs:label	increased monocyte cell number	OFFICIAL	単球数の増加
MP:0000221	en	ja	rdfs:label	decreased leukocyte cell number	OFFICIAL	白血球数の減少
MP:0000222	en	ja	rdfs:label	decreased neutrophil cell number	OFFICIAL	好中球数の減少
MP:0000223	en	ja	rdfs:label	decreased monocyte cell number	OFFICIAL	単球数の減少
MP:0000226	en	ja	rdfs:label	abnormal mean corpuscular volume	OFFICIAL	平均赤血球容積の異常
MP:0000228	en	ja	rdfs:label	abnormal thrombopoiesis	OFFICIAL	血小板新生の異常
MP:0000229	en	ja	rdfs:label	abnormal megakaryocyte differentiation	OFFICIAL	巨核球分化の異常
MP:0000230	en	ja	rdfs:label	abnormal systemic arterial blood pressure	OFFICIAL	血圧異常
MP:0000231	en	ja	rdfs:label	hypertension	OFFICIAL	高血圧症
MP:0000233	en	ja	rdfs:label	abnormal blood flow velocity	OFFICIAL	血流速度異常
MP:0000237	en	ja	rdfs:label	obsolete decreased blood cell number	OFFICIAL	OBSOLETE
MP:0000238	en	ja	rdfs:label	absent pre-B cells	OFFICIAL	pre-B細胞欠如
MP:0000239	en	ja	rdfs:label	absent common myeloid progenitor cells	OFFICIAL	通常骨髄前駆細胞の欠如
MP:0000240	en	ja	rdfs:label	extramedullary hematopoiesis	OFFICIAL	延髄外の血球新生
MP:0000242	en	ja	rdfs:label	impaired fertilization	OFFICIAL	受精障害
MP:0000243	en	ja	rdfs:label	myoclonus	OFFICIAL	間代性筋痙攣
MP:0000245	en	ja	rdfs:label	abnormal erythropoiesis	OFFICIAL	赤血球新生の異常
MP:0000247	en	ja	rdfs:label	obsolete abnormal interleukin-10 physiology	OFFICIAL	OBSOLETE
MP:0000248	en	ja	rdfs:label	macrocytosis	OFFICIAL	大赤血球症
MP:0000249	en	ja	rdfs:label	abnormal blood vessel physiology	OFFICIAL	血管の生理異常
MP:0000250	en	ja	rdfs:label	abnormal vasoconstriction	OFFICIAL	血管収縮の異常
MP:0000255	en	ja	rdfs:label	blood vessel congestion	OFFICIAL	脈管構造のうっ血
MP:0000256	en	ja	rdfs:label	echinocytosis	OFFICIAL	棘状赤血球症
MP:0000259	en	ja	rdfs:label	abnormal vascular development	OFFICIAL	血管の発生異常
MP:0000260	en	ja	rdfs:label	abnormal angiogenesis	OFFICIAL	血管形成異常
MP:0000262	en	ja	rdfs:label	poor arterial differentiation	OFFICIAL	動脈分化不全
MP:0000263	en	ja	rdfs:label	absent organized vascular network	OFFICIAL	組織的な血管網の欠如
MP:0000264	en	ja	rdfs:label	failure of vascular branching	OFFICIAL	血管の分枝不全
MP:0000265	en	ja	rdfs:label	blood vessel atresia	OFFICIAL	脈管構造閉鎖症
MP:0000266	en	ja	rdfs:label	abnormal heart morphology	OFFICIAL	心臓の形態異常
MP:0000267	en	ja	rdfs:label	abnormal heart development	OFFICIAL	心臓の発生異常
MP:0000268	en	ja	rdfs:label	obsolete abnormal anterior cardiac development	OFFICIAL	OBSOLETE
MP:0000269	en	ja	rdfs:label	abnormal heart looping	OFFICIAL	原始心筒の形態異常
MP:0000270	en	ja	rdfs:label	abnormal heart tube morphology	OFFICIAL	心筒の形態異常
MP:0000272	en	ja	rdfs:label	abnormal aorta morphology	OFFICIAL	大動脈の形態異常
MP:0000273	en	ja	rdfs:label	overriding aortic valve	OFFICIAL	大動脈騎乗
MP:0000274	en	ja	rdfs:label	enlarged heart	OFFICIAL	心臓肥大
MP:0000275	en	ja	rdfs:label	heart hyperplasia	OFFICIAL	心臓肥厚
MP:0000276	en	ja	rdfs:label	heart right ventricle hypertrophy	OFFICIAL	右心室肥大
MP:0000277	en	ja	rdfs:label	abnormal heart shape	OFFICIAL	心臓の形態異常
MP:0000278	en	ja	rdfs:label	abnormal myocardial fiber morphology	OFFICIAL	心筋線維の形態異常
MP:0000279	en	ja	rdfs:label	ventricular hypoplasia	OFFICIAL	心室の形成不全
MP:0000280	en	ja	rdfs:label	thin ventricular wall	OFFICIAL	心室壁の菲薄化
MP:0000281	en	ja	rdfs:label	abnormal interventricular septum morphology	OFFICIAL	心室中隔の形態異常
MP:0000282	en	ja	rdfs:label	abnormal interatrial septum morphology	OFFICIAL	心房中隔の形態異常
MP:0000284	en	ja	rdfs:label	double outlet right ventricle	OFFICIAL	両大血管右室起始症
MP:0000285	en	ja	rdfs:label	abnormal heart valve morphology	OFFICIAL	心臓弁の形態異常
MP:0000286	en	ja	rdfs:label	abnormal mitral valve morphology	OFFICIAL	僧帽弁の形態異常
MP:0000287	en	ja	rdfs:label	heart valve hypoplasia	OFFICIAL	心臓弁の形成不全
MP:0000288	en	ja	rdfs:label	abnormal pericardium morphology	OFFICIAL	心膜の形態異常
MP:0000291	en	ja	rdfs:label	enlarged pericardium	OFFICIAL	心膜拡張
MP:0000292	en	ja	rdfs:label	distended pericardium	OFFICIAL	心膜拡張
MP:0000293	en	ja	rdfs:label	absent myocardial trabeculae	OFFICIAL	心筋肉柱の欠如
MP:0000295	en	ja	rdfs:label	trabecula carnea hypoplasia	OFFICIAL	心室肉柱の分化不全
MP:0000296	en	ja	rdfs:label	absent trabeculae carneae	OFFICIAL	心室肉柱の欠如
MP:0000297	en	ja	rdfs:label	abnormal atrioventricular cushion morphology	OFFICIAL	心内膜床形態異常
MP:0000298	en	ja	rdfs:label	absent atrioventricular cushions	OFFICIAL	心内膜床の欠如
MP:0000299	en	ja	rdfs:label	failure of atrioventricular cushion closure	OFFICIAL	心内膜床の閉鎖不全
MP:0000300	en	ja	rdfs:label	thin atrioventricular cushion	OFFICIAL	薄い心内膜床
MP:0000301	en	ja	rdfs:label	decreased atrioventricular cushion size	OFFICIAL	房室間隔のサイズ減少
MP:0000304	en	ja	rdfs:label	abnormal cardiac stroke volume	OFFICIAL	心拍出量の異常
MP:0000306	en	ja	rdfs:label	obsolete abnormal pulse	OFFICIAL	OBSOLETE
MP:0000307	en	ja	rdfs:label	obsolete abnormal heart sounds	OFFICIAL	OBSOLETE
MP:0000313	en	ja	rdfs:label	abnormal cell death	OFFICIAL	細胞死の異常
MP:0000314	en	ja	rdfs:label	schistocytosis	OFFICIAL	分裂赤血球症
MP:0000315	en	ja	rdfs:label	hemoglobinuria	OFFICIAL	血色素尿
MP:0000316	en	ja	rdfs:label	cellular necrosis	OFFICIAL	細胞壊死
MP:0000317	en	ja	rdfs:label	obsolete abnormal cell number	OFFICIAL	OBSOLETE
MP:0000318	en	ja	rdfs:label	obsolete increased cell number	OFFICIAL	OBSOLETE
MP:0000319	en	ja	rdfs:label	obsolete increased activated B cell number	OFFICIAL	OBSOLETE
MP:0000321	en	ja	rdfs:label	increased bone marrow cell number	OFFICIAL	骨髄細胞数の増加
MP:0000322	en	ja	rdfs:label	increased granulocyte number	OFFICIAL	顆粒球数の増加
MP:0000324	en	ja	rdfs:label	increased mast cell number	OFFICIAL	肥満細胞数の増加
MP:0000327	en	ja	rdfs:label	hemosiderinuria	OFFICIAL	ヘモシデリン尿症
MP:0000328	en	ja	rdfs:label	increased enterocyte cell number	OFFICIAL	腸細胞数の増加
MP:0000329	en	ja	rdfs:label	obsolete decreased cell number	OFFICIAL	OBSOLETE
MP:0000330	en	ja	rdfs:label	obsolete decreased activated B cell number	OFFICIAL	OBSOLETE
MP:0000332	en	ja	rdfs:label	hemoglobinemia	OFFICIAL	ヘモグロビン血症
MP:0000333	en	ja	rdfs:label	decreased bone marrow cell number	OFFICIAL	骨髄細胞数の減少
MP:0000334	en	ja	rdfs:label	decreased granulocyte number	OFFICIAL	顆粒球数の減少
MP:0000336	en	ja	rdfs:label	decreased mast cell number	OFFICIAL	肥満細胞数の減少
MP:0000339	en	ja	rdfs:label	decreased enterocyte cell number	OFFICIAL	腸細胞数の減少
MP:0000340	en	ja	rdfs:label	obsolete absence of cell	OFFICIAL	OBSOLETE
MP:0000341	en	ja	rdfs:label	abnormal bile color	OFFICIAL	胆汁色異常
MP:0000343	en	ja	rdfs:label	abnormal response to cardiac infarction	OFFICIAL	心筋梗塞への応答の変化
MP:0000344	en	ja	rdfs:label	absent Cajal-Retzius cell	OFFICIAL	カハール・レチウス細胞欠如
MP:0000346	en	ja	rdfs:label	broad head	OFFICIAL	広い頭部
MP:0000348	en	ja	rdfs:label	abnormal aerobic fitness	OFFICIAL	好気的代謝異常
MP:0000350	en	ja	rdfs:label	abnormal cell proliferation	OFFICIAL	細胞増殖の異常
MP:0000351	en	ja	rdfs:label	increased cell proliferation	OFFICIAL	細胞増殖率の増加
MP:0000352	en	ja	rdfs:label	decreased cell proliferation	OFFICIAL	細胞増殖率の減少
MP:0000353	en	ja	rdfs:label	obsolete Abnormal Cell Size	OFFICIAL	OBSOLETE
MP:0000354	en	ja	rdfs:label	obsolete Increased Cell Size	OFFICIAL	OBSOLETE
MP:0000355	en	ja	rdfs:label	obsolete Increased Purkinje Cell Size	OFFICIAL	OBSOLETE
MP:0000356	en	ja	rdfs:label	obsolete Decreased Cell Size	OFFICIAL	OBSOLETE
MP:0000357	en	ja	rdfs:label	obsolete Decreased Purkinje Cell Size	OFFICIAL	OBSOLETE
MP:0000358	en	ja	rdfs:label	abnormal cell morphology	OFFICIAL	細胞質/形態の異常
MP:0000359	en	ja	rdfs:label	abnormal mast cell morphology	OFFICIAL	肥満細胞の形態異常
MP:0000360	en	ja	rdfs:label	obsolete absent metachromatic granules	OFFICIAL	OBSOLETE
MP:0000361	en	ja	rdfs:label	decreased mast cell protease storage	OFFICIAL	肥満細胞のプロテアーゼ貯蔵量の減少
MP:0000362	en	ja	rdfs:label	decreased mast cell histamine storage	OFFICIAL	肥満細胞のヒスタミン貯蔵量の減少
MP:0000363	en	ja	rdfs:label	obsolete Abnormal Cell Behavior	OFFICIAL	OBSOLETE
MP:0000364	en	ja	rdfs:label	abnormal vascular regression	OFFICIAL	血管退行の異常
MP:0000365	en	ja	rdfs:label	obsolete Abnormal Hematopoietic/Hemopoietic/ Hematogenic/Hemogenic/Sanguifacient Cell Behavior	OFFICIAL	OBSOLETE
MP:0000366	en	ja	rdfs:label	obsolete Impaired Proliferative Response of Hematopoietic Cells to Mitogens	OFFICIAL	OBSOLETE
MP:0000367	en	ja	rdfs:label	abnormal coat/ hair morphology	OFFICIAL	外皮／毛の形態異常
MP:0000370	en	ja	rdfs:label	head blaze	OFFICIAL	白い縞模様のある頭部
MP:0000371	en	ja	rdfs:label	diluted coat color	OFFICIAL	薄い毛色
MP:0000372	en	ja	rdfs:label	irregular coat pigmentation	OFFICIAL	不規則な毛の色素沈着
MP:0000373	en	ja	rdfs:label	belly spot	OFFICIAL	腹部の白班
MP:0000374	en	ja	rdfs:label	obsolete pink fur hue	OFFICIAL	OBSOLETE
MP:0000376	en	ja	rdfs:label	folliculitis	OFFICIAL	毛包炎
MP:0000377	en	ja	rdfs:label	abnormal hair follicle morphology	OFFICIAL	毛包の形態異常
MP:0000378	en	ja	rdfs:label	absent hair follicles	OFFICIAL	毛包欠如
MP:0000379	en	ja	rdfs:label	decreased hair follicle number	OFFICIAL	毛包数の減少
MP:0000380	en	ja	rdfs:label	small hair follicles	OFFICIAL	毛包の矮小化
MP:0000381	en	ja	rdfs:label	enlarged hair follicles	OFFICIAL	毛包の巨大化
MP:0000382	en	ja	rdfs:label	underdeveloped hair follicles	OFFICIAL	毛包の分化停止/遅延
MP:0000383	en	ja	rdfs:label	abnormal hair follicle orientation	OFFICIAL	毛包の配向異常
MP:0000384	en	ja	rdfs:label	distorted hair follicle pattern	OFFICIAL	毛包パターンの歪み
MP:0000385	en	ja	rdfs:label	distended hair follicles	OFFICIAL	毛包拡張
MP:0000386	en	ja	rdfs:label	obsolete abnormal hair follicle root sheath	OFFICIAL	OBSOLETE
MP:0000387	en	ja	rdfs:label	disorganized inner root sheath cells	OFFICIAL	乱れた内毛根鞘細胞
MP:0000388	en	ja	rdfs:label	absent hair follicle inner root sheath	OFFICIAL	毛包内根鞘の欠如
MP:0000389	en	ja	rdfs:label	disorganized outer root sheath cells	OFFICIAL	外毛根鞘細胞の乱れ
