source_language	source_value	subject_id	predicate_id	translation_language	translation_value	translation_status
en	abnormal spleen B cell follicle shape	MP:0014351	rdfs:label	ja		NOT_TRANSLATED
en	abnormal brush cell morphology	MP:0014352	rdfs:label	ja		NOT_TRANSLATED
en	abnormal gastrointestinal brush cell morphology	MP:0014353	rdfs:label	ja		NOT_TRANSLATED
en	abnormal respiratory tract brush cell morphology	MP:0014354	rdfs:label	ja		NOT_TRANSLATED
en	abnormal programmed cell death	MP:0014355	rdfs:label	ja		NOT_TRANSLATED
en	abnormal necroptotic process	MP:0014356	rdfs:label	ja		NOT_TRANSLATED
en	abnormal pyroptosis	MP:0014357	rdfs:label	ja		NOT_TRANSLATED
en	abnormal ferroptosis	MP:0014358	rdfs:label	ja		NOT_TRANSLATED
en	increased ferroptosis	MP:0014359	rdfs:label	ja		NOT_TRANSLATED
en	decreased ferroptosis	MP:0014360	rdfs:label	ja		NOT_TRANSLATED
en	increased necroptotic process	MP:0014361	rdfs:label	ja		NOT_TRANSLATED
en	decreased necroptotic process	MP:0014362	rdfs:label	ja		NOT_TRANSLATED
en	increased pyroptosis	MP:0014363	rdfs:label	ja		NOT_TRANSLATED
en	decreased pyroptosis	MP:0014364	rdfs:label	ja		NOT_TRANSLATED
en	impaired short-term object recognition memory	MP:0014365	rdfs:label	ja		NOT_TRANSLATED
en	enhanced short-term object recognition memory	MP:0014366	rdfs:label	ja		NOT_TRANSLATED
en	impaired long-term object recognition memory	MP:0014367	rdfs:label	ja		NOT_TRANSLATED
en	enhanced long-term object recognition memory	MP:0014368	rdfs:label	ja		NOT_TRANSLATED
en	enhanced spatial working memory	MP:0014369	rdfs:label	ja		NOT_TRANSLATED
en	impaired spatial working memory	MP:0014370	rdfs:label	ja		NOT_TRANSLATED
en	abnormal miniature excitatory postsynaptic current amplitude	MP:0014371	rdfs:label	ja		NOT_TRANSLATED
en	decreased miniature excitatory postsynaptic current amplitude	MP:0014372	rdfs:label	ja		NOT_TRANSLATED
en	increased miniature excitatory postsynaptic current amplitude	MP:0014373	rdfs:label	ja		NOT_TRANSLATED
en	abnormal miniature excitatory postsynaptic current frequency	MP:0014374	rdfs:label	ja		NOT_TRANSLATED
en	increased miniature excitatory postsynaptic current frequency	MP:0014375	rdfs:label	ja		NOT_TRANSLATED
en	decreased miniature excitatory postsynaptic current frequency	MP:0014376	rdfs:label	ja		NOT_TRANSLATED
en	abnormal excitatory postsynaptic current frequency	MP:0014377	rdfs:label	ja		NOT_TRANSLATED
en	increased excitatory postsynaptic current frequency	MP:0014378	rdfs:label	ja		NOT_TRANSLATED
en	decreased excitatory postsynaptic current frequency	MP:0014379	rdfs:label	ja		NOT_TRANSLATED
en	abnormal miniature inhibitory postsynaptic current amplitude	MP:0014380	rdfs:label	ja		NOT_TRANSLATED
en	abnormal miniature inhibitory postsynaptic current frequency	MP:0014381	rdfs:label	ja		NOT_TRANSLATED
en	increased miniature inhibitory postsynaptic current frequency	MP:0014382	rdfs:label	ja		NOT_TRANSLATED
en	decreased miniature inhibitory postsynaptic current frequency	MP:0014383	rdfs:label	ja		NOT_TRANSLATED
en	increased miniature inhibitory postsynaptic current amplitude	MP:0014384	rdfs:label	ja		NOT_TRANSLATED
en	decreased miniature inhibitory postsynaptic current amplitude	MP:0014385	rdfs:label	ja		NOT_TRANSLATED
en	decreased muscle fiber mitochondrial DNA content	MP:0014386	rdfs:label	ja		NOT_TRANSLATED
en	decreased neuron mitochondrial DNA content	MP:0014387	rdfs:label	ja		NOT_TRANSLATED
en	decreased hepatocyte mitochondrial DNA content	MP:0014388	rdfs:label	ja		NOT_TRANSLATED
en	decreased skeletal muscle fiber mitochondrial DNA content	MP:0014389	rdfs:label	ja		NOT_TRANSLATED
en	decreased myocardial fiber mitochondrial DNA content	MP:0014390	rdfs:label	ja		NOT_TRANSLATED
en	increased hepatocyte mitochondrial DNA content	MP:0014391	rdfs:label	ja		NOT_TRANSLATED
en	increased neuron mitochondrial DNA content	MP:0014392	rdfs:label	ja		NOT_TRANSLATED
en	increased muscle fiber mitochondrial DNA content	MP:0014393	rdfs:label	ja		NOT_TRANSLATED
en	increased skeletal muscle fiber mitochondrial DNA content	MP:0014394	rdfs:label	ja		NOT_TRANSLATED
en	increased myocardial fiber mitochondrial DNA content	MP:0014395	rdfs:label	ja		NOT_TRANSLATED
en	decreased fat cell mitochondrial DNA content	MP:0014396	rdfs:label	ja		NOT_TRANSLATED
en	increased fat cell mitochondrial DNA content	MP:0014397	rdfs:label	ja		NOT_TRANSLATED
en	abnormal fat cell mitochondrial morphology	MP:0014398	rdfs:label	ja		NOT_TRANSLATED
en	decreased hematopoietic precursor cell number	MP:0014399	rdfs:label	ja		NOT_TRANSLATED
en	increased hematopoietic precursor cell number	MP:0014400	rdfs:label	ja		NOT_TRANSLATED
en	absent hematopoietic precursor cells	MP:0014401	rdfs:label	ja		NOT_TRANSLATED
en	abnormal Reissner's fiber morphology	MP:0014402	rdfs:label	ja		NOT_TRANSLATED
en	decreased early pro-B cell number	MP:0014403	rdfs:label	ja		NOT_TRANSLATED
en	decreased late pro-B cell number	MP:0014404	rdfs:label	ja		NOT_TRANSLATED
en	abnormal distortion product otoacoustic emission threshold	MP:0014405	rdfs:label	ja		NOT_TRANSLATED
en	increased or absent distortion product otoacoustic emission threshold	MP:0014406	rdfs:label	ja		NOT_TRANSLATED
en	decreased distortion product otoacoustic emission threshold	MP:0014407	rdfs:label	ja		NOT_TRANSLATED
en	abnormal distortion product otoacoustic emission amplitude	MP:0014408	rdfs:label	ja		NOT_TRANSLATED
en	decreased distortion product otoacoustic emission amplitude	MP:0014409	rdfs:label	ja		NOT_TRANSLATED
en	increased distortion product otoacoustic emission amplitude	MP:0014410	rdfs:label	ja		NOT_TRANSLATED
en	abnormal outer hair cell stereocilia length	MP:0014411	rdfs:label	ja		NOT_TRANSLATED
en	long outer hair cell stereocilia	MP:0014412	rdfs:label	ja		NOT_TRANSLATED
en	decreased depression-related behavior	MP:0014413	rdfs:label	ja		NOT_TRANSLATED
en	increased depression-related behavior	MP:0014414	rdfs:label	ja		NOT_TRANSLATED
en	increased social novelty preference	MP:0014415	rdfs:label	ja		NOT_TRANSLATED
en	decreased social novelty preference	MP:0014416	rdfs:label	ja		NOT_TRANSLATED
en	abnormal liver secretion	MP:0014417	rdfs:label	ja		NOT_TRANSLATED
en	decreased liver secretion	MP:0014418	rdfs:label	ja		NOT_TRANSLATED
en	increased liver secretion	MP:0014419	rdfs:label	ja		NOT_TRANSLATED
en	abnormal liver triglyceride secretion	MP:0014420	rdfs:label	ja		NOT_TRANSLATED
en	abnormal liver apolipoprotein B secretion	MP:0014421	rdfs:label	ja		NOT_TRANSLATED
en	increased liver apolipoprotein B secretion	MP:0014422	rdfs:label	ja		NOT_TRANSLATED
en	decreased liver apolipoprotein B secretion	MP:0014423	rdfs:label	ja		NOT_TRANSLATED
en	increased liver triglyceride secretion	MP:0014424	rdfs:label	ja		NOT_TRANSLATED
en	decreased liver triglyceride secretion	MP:0014425	rdfs:label	ja		NOT_TRANSLATED
en	abnormal hyaluronic acid level	MP:0014426	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating hyaluronic acid level	MP:0014427	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating hyaluronic acid level	MP:0014428	rdfs:label	ja		NOT_TRANSLATED
en	increased hyaluronic acid level	MP:0014429	rdfs:label	ja		NOT_TRANSLATED
en	decreased hyaluronic acid level	MP:0014430	rdfs:label	ja		NOT_TRANSLATED
en	increased chemokine level	MP:0014431	rdfs:label	ja		NOT_TRANSLATED
en	decreased chemokine level	MP:0014432	rdfs:label	ja		NOT_TRANSLATED
en	increased cytokine level	MP:0014433	rdfs:label	ja		NOT_TRANSLATED
en	decreased cytokine level	MP:0014434	rdfs:label	ja		NOT_TRANSLATED
en	increased interferon level	MP:0014435	rdfs:label	ja		NOT_TRANSLATED
en	decreased interferon level	MP:0014436	rdfs:label	ja		NOT_TRANSLATED
en	increased interleukin level	MP:0014437	rdfs:label	ja		NOT_TRANSLATED
en	decreased interleukin level	MP:0014438	rdfs:label	ja		NOT_TRANSLATED
en	abnormal response to leptin	MP:0014439	rdfs:label	ja		NOT_TRANSLATED
en	increased response to leptin	MP:0014440	rdfs:label	ja		NOT_TRANSLATED
en	decreased response to leptin	MP:0014441	rdfs:label	ja		NOT_TRANSLATED
en	abnormal polar body extrusion	MP:0014442	rdfs:label	ja		NOT_TRANSLATED
en	impaired polar body extrusion	MP:0014443	rdfs:label	ja		NOT_TRANSLATED
en	enhanced polar body extrusion	MP:0014444	rdfs:label	ja		NOT_TRANSLATED
en	abnormal spindle assembly in female meiosis	MP:0014445	rdfs:label	ja		NOT_TRANSLATED
en	enhanced spindle assembly in female meiosis	MP:0014446	rdfs:label	ja		NOT_TRANSLATED
en	impaired spindle assembly in female meiosis	MP:0014447	rdfs:label	ja		NOT_TRANSLATED
en	increased enzyme/coenzyme level	MP:0014448	rdfs:label	ja		NOT_TRANSLATED
en	decreased enzyme/conezyme level	MP:0014449	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating enzyme level	MP:0014450	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating enzyme level	MP:0014451	rdfs:label	ja		NOT_TRANSLATED
en	increased nitric oxide synthase level	MP:0014452	rdfs:label	ja		NOT_TRANSLATED
en	decreased nitric oxide synthase level	MP:0014453	rdfs:label	ja		NOT_TRANSLATED
en	increased hormone level	MP:0014454	rdfs:label	ja		NOT_TRANSLATED
en	decreased hormone level	MP:0014455	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating hormone level	MP:0014456	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating hormone level	MP:0014457	rdfs:label	ja		NOT_TRANSLATED
en	increased urine hormone level	MP:0014458	rdfs:label	ja		NOT_TRANSLATED
en	decreased urine hormone level	MP:0014459	rdfs:label	ja		NOT_TRANSLATED
en	increased lipid level	MP:0014460	rdfs:label	ja		NOT_TRANSLATED
en	decreased lipid level	MP:0014461	rdfs:label	ja		NOT_TRANSLATED
en	abnormal sperm mitochondrial sheath size	MP:0014462	rdfs:label	ja		NOT_TRANSLATED
en	increased sperm mitochondrial sheath size	MP:0014463	rdfs:label	ja		NOT_TRANSLATED
en	decreased sperm mitochondrial sheath size	MP:0014464	rdfs:label	ja		NOT_TRANSLATED
en	abnormal sperm mitochondrial morphology	MP:0014465	rdfs:label	ja		NOT_TRANSLATED
en	decreased sperm mitochondrial size	MP:0014466	rdfs:label	ja		NOT_TRANSLATED
en	increased sperm mitochondrial size	MP:0014467	rdfs:label	ja		NOT_TRANSLATED
en	disorganized sperm mitochondrial sheath	MP:0014468	rdfs:label	ja		NOT_TRANSLATED
en	abnormal B cell calcium ion homeostasis	MP:0014469	rdfs:label	ja		NOT_TRANSLATED
en	abnormal B cell migration	MP:0014470	rdfs:label	ja		NOT_TRANSLATED
en	enhanced B cell migration	MP:0014471	rdfs:label	ja		NOT_TRANSLATED
en	impaired B cell migration	MP:0014472	rdfs:label	ja		NOT_TRANSLATED
en	increased pulmonary alveolus wall thickness	MP:0014473	rdfs:label	ja		NOT_TRANSLATED
en	decreased pulmonary alveolus wall thickness	MP:0014474	rdfs:label	ja		NOT_TRANSLATED
en	abnormal feces bile salt level	MP:0014475	rdfs:label	ja		NOT_TRANSLATED
en	abnormal feces lipid level	MP:0014476	rdfs:label	ja		NOT_TRANSLATED
en	abnormal feces cholesterol level	MP:0014477	rdfs:label	ja		NOT_TRANSLATED
en	increased feces bile salt level	MP:0014478	rdfs:label	ja		NOT_TRANSLATED
en	decreased feces bile salt level	MP:0014479	rdfs:label	ja		NOT_TRANSLATED
en	increased feces cholesterol level	MP:0014480	rdfs:label	ja		NOT_TRANSLATED
en	decreased feces cholesterol level	MP:0014481	rdfs:label	ja		NOT_TRANSLATED
en	abnormal feces water content	MP:0014482	rdfs:label	ja		NOT_TRANSLATED
en	increased feces water content	MP:0014483	rdfs:label	ja		NOT_TRANSLATED
en	decreased feces water content	MP:0014484	rdfs:label	ja		NOT_TRANSLATED
en	abnormal miniature inhibitory postsynaptic current decay phase	MP:0014485	rdfs:label	ja		NOT_TRANSLATED
en	prolonged miniature inhibitory postsynaptic current decay phase	MP:0014486	rdfs:label	ja		NOT_TRANSLATED
en	reduced miniature inhibitory postsynaptic current decay phase	MP:0014487	rdfs:label	ja		NOT_TRANSLATED
en	abnormal skin sensory neuron innervation pattern	MP:0014488	rdfs:label	ja		NOT_TRANSLATED
en	abnormal cochlear sensory neuron innervation pattern	MP:0014489	rdfs:label	ja		NOT_TRANSLATED
en	abnormal inner ear vestibular sensory neuron innervation pattern	MP:0014490	rdfs:label	ja		NOT_TRANSLATED
en	abnormal mammary gland sensory innervation pattern	MP:0014491	rdfs:label	ja		NOT_TRANSLATED
en	abnormal retinal sensory neuron innervation pattern	MP:0014492	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating cytokine level	MP:0014493	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating cytokine level	MP:0014494	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating chemokine level	MP:0014495	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating chemokine level	MP:0014496	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating interleukin level	MP:0014497	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating interleukin level	MP:0014498	rdfs:label	ja		NOT_TRANSLATED
en	increased acute phase protein level	MP:0014499	rdfs:label	ja		NOT_TRANSLATED
en	decreased acute phase protein level	MP:0014500	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating protein level	MP:0014501	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating protein level	MP:0014502	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating myoglobin level	MP:0014503	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating procalcitonin level	MP:0014504	rdfs:label	ja		NOT_TRANSLATED
en	abnormal intestinal crypt stem cell morphology	MP:0014505	rdfs:label	ja		NOT_TRANSLATED
en	abnormal intestinal crypt stem cell number	MP:0014506	rdfs:label	ja		NOT_TRANSLATED
en	increased intestinal crypt stem cell number	MP:0014507	rdfs:label	ja		NOT_TRANSLATED
en	decreased intestinal crypt stem cell number	MP:0014508	rdfs:label	ja		NOT_TRANSLATED
en	abnormal intestinal crypt stem cell physiology	MP:0014509	rdfs:label	ja		NOT_TRANSLATED
en	abnormal intestinal crypt stem cell proliferation	MP:0014510	rdfs:label	ja		NOT_TRANSLATED
en	increased intestinal crypt stem cell proliferation	MP:0014511	rdfs:label	ja		NOT_TRANSLATED
en	decreased intestinal crypt stem cell proliferation	MP:0014512	rdfs:label	ja		NOT_TRANSLATED
en	abnormal circulating anti-Mullerian hormone level	MP:0014513	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating anti-Mullerian hormone level	MP:0014514	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating anti-Mullerian hormone level	MP:0014515	rdfs:label	ja		NOT_TRANSLATED
en	abnormal middle ear development	MP:0014516	rdfs:label	ja		NOT_TRANSLATED
en	abnormal outer ear development	MP:0014517	rdfs:label	ja		NOT_TRANSLATED
en	myocardial hypertrabeculation	MP:0014518	rdfs:label	ja		NOT_TRANSLATED
en	myocardial ventricular hypertrabeculation	MP:0014519	rdfs:label	ja		NOT_TRANSLATED
en	myocardial atrial hypertrabeculation	MP:0014520	rdfs:label	ja		NOT_TRANSLATED
en	abnormal response to brain injury	MP:0014521	rdfs:label	ja		NOT_TRANSLATED
en	decreased response to brain injury	MP:0014522	rdfs:label	ja		NOT_TRANSLATED
en	increased response to brain injury	MP:0014523	rdfs:label	ja		NOT_TRANSLATED
en	abnormal pulmonary alveolar fluid clearance	MP:0014524	rdfs:label	ja		NOT_TRANSLATED
en	impaired pulmonary alveolar fluid clearance	MP:0014525	rdfs:label	ja		NOT_TRANSLATED
en	enhanced pulmonary alveolar fluid clearance	MP:0014526	rdfs:label	ja		NOT_TRANSLATED
en	increased amino acid level	MP:0014527	rdfs:label	ja		NOT_TRANSLATED
en	decreased amino acid level	MP:0014528	rdfs:label	ja		NOT_TRANSLATED
en	decreased beta-alanine level	MP:0014529	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating amino acid level	MP:0014530	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating amino acid level	MP:0014531	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating glutathione level	MP:0014532	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating homocitrulline level	MP:0014533	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating hydroxyproline level	MP:0014534	rdfs:label	ja		NOT_TRANSLATED
en	increased mineral level	MP:0014535	rdfs:label	ja		NOT_TRANSLATED
en	decreased mineral level	MP:0014536	rdfs:label	ja		NOT_TRANSLATED
en	increased calcium level	MP:0014537	rdfs:label	ja		NOT_TRANSLATED
en	decreased calcium level	MP:0014538	rdfs:label	ja		NOT_TRANSLATED
en	increased copper level	MP:0014539	rdfs:label	ja		NOT_TRANSLATED
en	decreased copper level	MP:0014540	rdfs:label	ja		NOT_TRANSLATED
en	increased iron level	MP:0014541	rdfs:label	ja		NOT_TRANSLATED
en	decreased iron level	MP:0014542	rdfs:label	ja		NOT_TRANSLATED
en	increased manganese level	MP:0014543	rdfs:label	ja		NOT_TRANSLATED
en	decreased manganese level	MP:0014544	rdfs:label	ja		NOT_TRANSLATED
en	increased phosphate level	MP:0014545	rdfs:label	ja		NOT_TRANSLATED
en	decreased phosphate level	MP:0014546	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating mineral level	MP:0014547	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating mineral level	MP:0014548	rdfs:label	ja		NOT_TRANSLATED
en	increased zinc level	MP:0014549	rdfs:label	ja		NOT_TRANSLATED
en	decreased zinc level	MP:0014550	rdfs:label	ja		NOT_TRANSLATED
en	impaired neuronal migration	MP:0014551	rdfs:label	ja		NOT_TRANSLATED
en	enhanced neuronal migration	MP:0014552	rdfs:label	ja		NOT_TRANSLATED
en	decreased neuronal migration	MP:0014553	rdfs:label	ja		NOT_TRANSLATED
en	delayed neuronal migration	MP:0014554	rdfs:label	ja		NOT_TRANSLATED
en	impaired neuronal migration orientation	MP:0014555	rdfs:label	ja		NOT_TRANSLATED
en	abnormal cortical ventricular zone thickness	MP:0014556	rdfs:label	ja		NOT_TRANSLATED
en	increased cortical ventricular zone thickness	MP:0014557	rdfs:label	ja		NOT_TRANSLATED
en	decreased cortical ventricular zone thickness	MP:0014558	rdfs:label	ja		NOT_TRANSLATED
en	abnormal cortical ventricular zone cell density	MP:0014559	rdfs:label	ja		NOT_TRANSLATED
en	increased cortical ventricular zone cell density	MP:0014560	rdfs:label	ja		NOT_TRANSLATED
en	decreased cortical ventricular zone cell density	MP:0014561	rdfs:label	ja		NOT_TRANSLATED
en	increased tympanic ring size	MP:0014562	rdfs:label	ja		NOT_TRANSLATED
en	duplicated tympanic ring	MP:0014563	rdfs:label	ja		NOT_TRANSLATED
en	abnormal circulating secretin level	MP:0014564	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating secretin level	MP:0014565	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating secretin level	MP:0014566	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating pancreatic peptide level	MP:0014567	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating pancreatic peptide level	MP:0014568	rdfs:label	ja		NOT_TRANSLATED
en	abnormal circulating peptide YY level	MP:0014569	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating peptide YY level	MP:0014570	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating peptide YY level	MP:0014571	rdfs:label	ja		NOT_TRANSLATED
en	abnormal circulating resistin level	MP:0014572	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating resistin level	MP:0014573	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating resistin level	MP:0014574	rdfs:label	ja		NOT_TRANSLATED
en	increased intestinal transit time	MP:0014575	rdfs:label	ja		NOT_TRANSLATED
en	decreased intestinal transit time	MP:0014576	rdfs:label	ja		NOT_TRANSLATED
en	increased large intestinal transit time	MP:0014577	rdfs:label	ja		NOT_TRANSLATED
en	increased small intestinal transit time	MP:0014578	rdfs:label	ja		NOT_TRANSLATED
en	decreased large intestinal transit time	MP:0014579	rdfs:label	ja		NOT_TRANSLATED
en	decreased small intestinal transit time	MP:0014580	rdfs:label	ja		NOT_TRANSLATED
en	abnormal circulating gastric inhibitory polypeptide level	MP:0014581	rdfs:label	ja		NOT_TRANSLATED
en	increased circulating gastric inhibitory polypeptide level	MP:0014582	rdfs:label	ja		NOT_TRANSLATED
en	decreased circulating gastric inhibitory polypeptide level	MP:0014583	rdfs:label	ja		NOT_TRANSLATED
en	abnormal egg cylinder size	MP:0014584	rdfs:label	ja		NOT_TRANSLATED
en	increased egg cylinder size	MP:0014585	rdfs:label	ja		NOT_TRANSLATED
en	decreased egg cylinder size	MP:0014586	rdfs:label	ja		NOT_TRANSLATED
en	impaired fine motor coordination	MP:0014587	rdfs:label	ja		NOT_TRANSLATED
en	impaired gross motor coordination	MP:0014588	rdfs:label	ja		NOT_TRANSLATED
en	abnormal gonadotropin-releasing hormone neuron morphology	MP:0014589	rdfs:label	ja		NOT_TRANSLATED
en	abnormal gonadotropin-releasing hormone neuron number	MP:0014590	rdfs:label	ja		NOT_TRANSLATED
en	increased gonadotropin-releasing hormone neuron number	MP:0014591	rdfs:label	ja		NOT_TRANSLATED
en	decreased gonadotropin-releasing hormone neuron number	MP:0014592	rdfs:label	ja		NOT_TRANSLATED
en	absent gonadotropin-releasing hormone neuron	MP:0014593	rdfs:label	ja		NOT_TRANSLATED
en	abnormal sperm cytoplasmic droplet morphology	MP:0014594	rdfs:label	ja		NOT_TRANSLATED
en	abnormal sperm cytoplasmic droplet number	MP:0014595	rdfs:label	ja		NOT_TRANSLATED
en	increased sperm cytoplasmic droplet number	MP:0014596	rdfs:label	ja		NOT_TRANSLATED
en	decreased sperm cytoplasmic droplet number	MP:0014597	rdfs:label	ja		NOT_TRANSLATED
en	abnormal sperm cytoplasmic droplet placement	MP:0014598	rdfs:label	ja		NOT_TRANSLATED
en	decreased susceptibility to hyperoxia-induced injury	MP:0014599	rdfs:label	ja		NOT_TRANSLATED
en	increased susceptibility to hyperoxia-induced injury	MP:0014600	rdfs:label	ja		NOT_TRANSLATED
en	decreased mating frequency	MP:0014601	rdfs:label	ja		NOT_TRANSLATED
en	decreased female mating frequency	MP:0014602	rdfs:label	ja		NOT_TRANSLATED
en	neuromuscular synapse degeneration	MP:0014603	rdfs:label	ja		NOT_TRANSLATED
en	hemorrhagic ovary cyst	MP:0014604	rdfs:label	ja		NOT_TRANSLATED
en	dark liver	MP:0014605	rdfs:label	ja		NOT_TRANSLATED
en	dark spleen	MP:0014606	rdfs:label	ja		NOT_TRANSLATED
en	decreased reactive oxygen species production	MP:0014607	rdfs:label	ja		NOT_TRANSLATED
en	abnormal lipid transport	MP:0014608	rdfs:label	ja		NOT_TRANSLATED
en	abnormal bone marrow cavity size	MP:0014609	rdfs:label	ja		NOT_TRANSLATED
en	increased bone marrow cavity size	MP:0014610	rdfs:label	ja		NOT_TRANSLATED
en	decreased bone marrow cavity size	MP:0014611	rdfs:label	ja		NOT_TRANSLATED
en	absent bone marrow cavity	MP:0014612	rdfs:label	ja		NOT_TRANSLATED
en	abnormal bone marrow cavity formation	MP:0014613	rdfs:label	ja		NOT_TRANSLATED
en	delayed bone marrow cavity formation	MP:0014614	rdfs:label	ja		NOT_TRANSLATED
en	premature bone marrow cavity formation	MP:0014615	rdfs:label	ja		NOT_TRANSLATED
en	abnormal spermatogonia number	MP:0014616	rdfs:label	ja		NOT_TRANSLATED
en	decreased spermatogonia number	MP:0014617	rdfs:label	ja		NOT_TRANSLATED
en	increased spermatogonia number	MP:0014618	rdfs:label	ja		NOT_TRANSLATED
en	absent spermatogonia	MP:0014619	rdfs:label	ja		NOT_TRANSLATED
en	impaired peripheral nervous system regeneration	MP:0031506	rdfs:label	ja		NOT_TRANSLATED
en	enhanced peripheral nervous system regeneration	MP:0031507	rdfs:label	ja		NOT_TRANSLATED
